Year,Element
1990,14396
1991,17980
1992,14947
1993,11422
1994,12964
1995,12938
1996,10779
1997,12122
1998,10868
1999,9512
2000,10519
2001,11950
2002,11712
2003,11053
2004,11429
2005,11952
2006,12164
2007,12515
2008,8664
2009,8098
2010,8523
2011,7653
2012,9927
2013,12124
2014,13333
2015,14009
2016,14634
2017,13824
2018,13866
2019,14100
