Year,Element
1990,2909
1991,2925
1992,1825
1993,2967
1994,2763
1995,3165
1996,3407
1997,3057
1998,2928
1999,3784
2000,3115
2001,4044
2002,4094
2003,4394
2004,5213
2005,4779
2006,5551
2007,5967
2008,4949
2009,6830
2010,5560
2011,5650
2012,6132
2013,6242
2014,6383
2015,6515
2016,7143
2017,7347
2018,7511
2019,7343
