index,RMSE,MAE,R2
XGBoost,7592.290760018394,7574.719613951165,-84.39288066070358
LinearRegression,7562.229719250124,7545.112173782085,-83.71800741385442
RandomForest,7474.578520797176,7459.768749999999,-81.7655142558638
LSTM,7160.909121918921,7144.913813395426,-74.96478712501684
