index,RMSE,MAE,R2
LSTM,7922.136407616668,7901.88432767475,-22.91968158320748
RandomForest,7314.001514736136,7303.20375,-19.38829242022802
LinearRegression,7224.435391606722,7210.093578311582,-18.892006157311982
XGBoost,6941.574389277956,6931.628152845427,-17.36482212260032
