index,RMSE,MAE,R2
LinearRegression,0.9732600235593133,0.8010881502720673,-4.818021859799149
XGBoost,0.7635343759515993,0.6768169886635265,-2.5807563246473
LSTM,0.5180075819321909,0.46238075667121425,-0.6481237249974301
RandomForest,0.2343682323086895,0.18135624999999955,0.6626233145928742
