Year,Element
1990,11.8404
1991,11.1681
1992,11.3105
1993,11.1349
1994,11.4045
1995,8.184
1996,8.809
1997,8.4173
1998,8.4601
1999,8.6635
2000,7.9327
2001,8.4375
2002,8.2286
2003,7.89
2004,8.2326
2005,7.7745
2006,8.6889
2007,8.1591
2008,8.278
2009,7.3108
2010,7.8118
2011,7.1435
2012,7.3051
2013,7.3435
2014,10.2227
2015,9.9376
2016,10.8716
2017,10.2966
2018,9.9241
2019,10.3194
