Year,Element
1990,18298
1991,18661
1992,18290
1993,19217
1994,17326
1995,17363
1996,18059
1997,17795
1998,18604
1999,19359
2000,18746
2001,19554
2002,19125
2003,20193
2004,20973
2005,20998
2006,20667
2007,21033
2008,21652
2009,21436
2010,21783
2011,22044
2012,22232
2013,23417
2014,23767
2015,24438
2016,25243
2017,26183
2018,26514
2019,27310
