Year,Element
1990,10.2842
1991,10.6717
1992,10.3023
1993,9.6011
1994,11.0685
1995,9.043
1996,9.7641
1997,9.1938
1998,9.5048
1999,10.556
2000,8.7776
2001,9.4378
2002,9.1491
2003,8.9773
2004,9.2641
2005,9.6425
2006,9.2819
2007,9.8234
2008,8.9971
2009,8.8843
2010,9.1548
2011,9.5092
2012,8.6439
2013,9.0125
2014,8.5143
2015,9.1123
2016,8.9636
2017,8.8801
2018,8.2908
2019,8.6501
