Year,Element
1990,44.35
1991,40.65
1992,39.77
1993,44.21
1994,56.46
1995,66.53
1996,56.67
1997,76.30
1998,75.62
1999,57.61
2000,35.87
2001,23.44
2002,22.08
2003,28.60
2004,30.80
2005,52.42
2006,61.35
2007,79.38
2008,96.12
2009,73.13
2010,77.96
2011,109.60
2012,104.65
2013,94.88
2014,104.63
2015,87.95
2016,82.71
2017,94.97
2018,78.48
2019,70.68
