Year,Element
1990,66.06
1991,62.64
1992,46.56
1993,53.12
1994,112.26
1995,109.26
1996,87.67
1997,166.41
1998,95.25
1999,74.18
2000,68.01
2001,42.04
2002,50.83
2003,49.57
2004,75.70
2005,87.92
2006,86.29
2007,87.13
2008,101.45
2009,106.04
2010,139.13
2011,191.07
2012,147.81
2013,140.98
2014,183.56
2015,171.01
2016,177.19
2017,173.36
2018,153.61
2019,148.26
