Year,Element
1990,1310
1991,1438
1992,2340
1993,3020
1994,3632
1995,3970
1996,5752
1997,6979
1998,7052
1999,11631
2000,14841
2001,13093
2002,11574
2003,15337
2004,14370
2005,13842
2006,19340
2007,16405
2008,18438
2009,17825
2010,20000
2011,26500
2012,23402
2013,27610
2014,27241
2015,31090
2016,27819
2017,33432
2018,30283
2019,30487
