Year,Element
1990,7279.26
1991,12377.22
1992,9570.40
1993,11324.73
1994,8213.94
1995,11231.45
1996,10593.69
1997,9670.07
1998,9976.17
1999,9748.01
2000,8769.88
2001,9059.33
2002,8498.00
2003,9498.60
2004,10444.71
2005,8664.51
2006,9150.85
2007,8626.68
2008,9534.51
2009,8896.93
2010,9291.96
2011,9460.35
2012,8829.74
2013,9378.03
2014,8682.32
2015,8420.97
2016,8583.01
2017,8554.97
2018,8460.83
2019,8670.04
