Year,Element
1990,54.32
1991,43.99
1992,45.20
1993,52.88
1994,114.57
1995,115.52
1996,96.35
1997,145.41
1998,105.25
1999,74.07
2000,65.98
2001,37.05
2002,30.91
2003,42.82
2004,56.33
2005,87.09
2006,87.02
2007,98.30
2008,109.26
2009,100.80
2010,134.00
2011,224.26
2012,152.29
2013,102.14
2014,134.70
2015,104.49
2016,107.83
2017,110.48
2018,90.78
2019,81.48
