Year,Element
1990,50.35
1991,56.12
1992,40.14
1993,37.54
1994,81.57
1995,102.55
1996,67.66
1997,116.88
1998,93.26
1999,61.48
2000,54.29
2001,34.32
2002,37.06
2003,41.71
2004,50.22
2005,78.69
2006,80.82
2007,81.63
2008,90.56
2009,83.72
2010,125.16
2011,200.02
2012,141.15
2013,101.80
2014,118.94
2015,110.97
2016,93.17
2017,90.77
2018,84.04
2019,72.37
