Year,Element
1990,5205.17
1991,5556.99
1992,5614.45
1993,5506.78
1994,5110.87
1995,5312.68
1996,5512.41
1997,5486.91
1998,5350.69
1999,5578.44
2000,5402.08
2001,5252.82
2002,5525.72
2003,5393.68
2004,4929.12
2005,4787.36
2006,5277.59
2007,5627.75
2008,5151.57
2009,5676.75
2010,5712.90
2011,5961.95
2012,5790.29
2013,5706.86
2014,5954.15
2015,5591.33
2016,5374.54
2017,5549.65
2018,5986.44
2019,6192.44
