Year,Element
1990,7441
1991,8493
1992,5569
1993,6743
1994,5368
1995,4573
1996,8221
1997,7621
1998,7296
1999,6557
2000,6987
2001,6833
2002,6731
2003,6404
2004,7536
2005,9159
2006,7483
2007,7777
2008,9612
2009,11380
2010,9129
2011,6889
2012,13070
2013,12901
2014,10946
2015,12585
2016,11541
2017,10852
2018,9618
2019,11433
