Year,Element
1990,12.8749
1991,11.5602
1992,12.2571
1993,13.3703
1994,12.3813
1995,8.6339
1996,10.5492
1997,10.9614
1998,11.6542
1999,11.3717
2000,11.209
2001,10.9522
2002,11.191
2003,11.1183
2004,11.8665
2005,12.6037
2006,11.9288
2007,11.9916
2008,12.5908
2009,11.8902
2010,12.082
2011,12.1709
2012,11.9912
2013,12.0795
2014,11.3155
2015,12.1543
2016,12.5234
2017,11.5682
2018,12.0315
2019,14.6513
