Year,Element
1990,69.52
1991,67.13
1992,54.57
1993,50.12
1994,85.99
1995,99.62
1996,93.56
1997,133.17
1998,102.08
1999,86.38
2000,74.96
2001,57.95
2002,52.57
2003,48.34
2004,60.83
2005,89.22
2006,89.81
2007,100.05
2008,114.22
2009,138.96
2010,180.55
2011,239.68
2012,166.69
2013,113.91
2014,159.71
2015,119.40
2016,123.56
2017,125.76
2018,113.52
2019,108.68
