index,RMSE,MAE,R2
RandomForest,110.96455355328565,107.93714999999999,-53.47777680043332
LinearRegression,103.58884719298563,100.26875739902354,-46.476296734547816
XGBoost,103.16298573800967,99.45438231542707,-46.086741954617175
LSTM,75.91159357004595,69.62232135158033,-24.495706587222823
