index,RMSE,MAE,R2
RandomForest,89.59456834736136,84.58310000000003,-16.468361266435053
XGBoost,81.7184811562348,71.0506444381457,-13.53213335030374
LinearRegression,80.29886535902764,74.46850946564065,-13.031613690467053
LSTM,53.200017693374605,45.667118739751196,-5.159030512610832
