index,RMSE,MAE,R2
LinearRegression,58.67248929391341,52.224219608277195,-7.335775657628643
LSTM,57.19957941375472,45.96924537345767,-6.922507518072418
XGBoost,29.72593488431242,26.52488996341824,-1.1396760884044772
RandomForest,16.18966619162514,15.675962500000002,0.36532297452554363
