index,RMSE,MAE,R2
RandomForest,18428.516810260055,18353.551249999997,-40.43106110870405
LSTM,17859.683777938757,17768.232118944637,-37.91283030712426
LinearRegression,17263.065427957095,17137.332329173907,-35.3564209448233
XGBoost,17252.91394245315,17126.485551129095,-35.313674983385745
