index,RMSE,MAE,R2
XGBoost,8310.992707953688,7438.461953701451,-3.664815484784217
RandomForest,6256.871441295563,5228.010000000003,-1.6438884703111047
LinearRegression,6077.310730547772,5115.259583891869,-1.4943164561983582
LSTM,5126.063481063809,4272.258800494019,-0.7745842711610418
