index,RMSE,MAE,R2
RandomForest,5285.617373881219,4586.934999999998,-21.881098359081662
XGBoost,4912.2216736426335,4398.151276864111,-18.76247526092131
LinearRegression,4679.446506072771,4061.1895382567227,-16.933885770451955
LSTM,3073.484601154469,2516.0435591489077,-6.736553060382795
