index,RMSE,MAE,R2
LSTM,29699.255823013897,28583.2261454314,-58.56893039984906
LinearRegression,18948.107008902327,18648.29407716344,-23.24712911022238
XGBoost,11749.02789317674,11216.168357808143,-8.322503116907162
RandomForest,7407.011024957203,7165.763750000004,-2.705225546084576
