index,RMSE,MAE,R2
RandomForest,3040.6564990167008,3023.8412499999995,-32.256059562168566
XGBoost,2803.395555518195,2790.892969008535,-27.26863435226027
LinearRegression,2622.724569659834,2595.022054778461,-23.74237796463055
LSTM,2564.1464284226076,2536.196931384504,-22.649486331600194
